NUV,None,None,None,None,None,None,None,None,None,SEMDÓ,None,None,None,None,None,Contorno Chaos,SEMDÓ,LyricsData/Contorno-Chaos_SEMDÓ.txt,December 25 2016,None,None,None,ImgData/Contorno-Chaos_SEMDÓ.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
Necroez,None,None,None,None,None,None,None,None,None,SEMDÓ,None,None,None,None,None,Corpo frio Alma Perturbada,SEMDÓ,LyricsData/Corpo-frio-Alma-Perturbada_SEMDÓ.txt,December 25 2016,None,None,None,ImgData/Corpo-frio-Alma-Perturbada_SEMDÓ.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
ABISMO,None,None,None,None,None,None,None,None,None,SEMDÓ,None,None,None,None,None,Brisa Torta & Psicoses,SEMDÓ,LyricsData/Brisa-Torta-&-Psicoses_SEMDÓ.txt,December 25 2016,None,None,None,ImgData/Brisa-Torta-&-Psicoses_SEMDÓ.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
Worthy,None,None,None,None,None,None,None,None,None,SEMDÓ,None,None,None,None,None,Nihil,SEMDÓ,LyricsData/Nihil_SEMDÓ.txt,December 25 2016,None,None,None,ImgData/Nihil_SEMDÓ.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Interlude (STILL SPLODIN THO),Anamanaguchi,LyricsData/Interlude-(STILL-SPLODIN-THO)_Anamanaguchi.txt,None,None,None,None,ImgData/Interlude-(STILL-SPLODIN-THO)_Anamanaguchi.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Pastel Flags,Anamanaguchi,LyricsData/Pastel-Flags_Anamanaguchi.txt,None,None,None,None,ImgData/Pastel-Flags_Anamanaguchi.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,EVERYTHING EXPLODES,Anamanaguchi,LyricsData/EVERYTHING-EXPLODES_Anamanaguchi.txt,None,None,None,None,ImgData/EVERYTHING-EXPLODES_Anamanaguchi.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Contributor Guidelines (Deutsch),Genius Deutschland,LyricsData/Contributor-Guidelines-(Deutsch)_Genius-Deutschland.txt,February 27 2014,None,None,None,ImgData/Contributor-Guidelines-(Deutsch)_Genius-Deutschland.jpg,,None,10,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Space Wax America,Anamanaguchi,LyricsData/Space-Wax-America_Anamanaguchi.txt,None,None,None,None,ImgData/Space-Wax-America_Anamanaguchi.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bosozoku GF,Anamanaguchi,LyricsData/Bosozoku-GF_Anamanaguchi.txt,None,None,None,None,ImgData/Bosozoku-GF_Anamanaguchi.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Canal Paradise,Anamanaguchi,LyricsData/Canal-Paradise_Anamanaguchi.txt,None,None,None,None,ImgData/Canal-Paradise_Anamanaguchi.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Snow Angels,Anamanaguchi,LyricsData/Snow-Angels_Anamanaguchi.txt,None,None,None,None,ImgData/Snow-Angels_Anamanaguchi.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,In the Basement,Anamanaguchi,LyricsData/In-the-Basement_Anamanaguchi.txt,None,None,None,None,ImgData/In-the-Basement_Anamanaguchi.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
